ds,icu_patients,flu_cases,oxygen_demand,ventilator_demand,staff_demand,tanks_demand
2026-09-18 19:00:00,136,68,247.6,21,98,86
2026-09-18 20:00:00,136,66,249.5,21,96,82
2026-09-18 21:00:00,136,65,248.7,21,99,83
2026-09-18 22:00:00,138,61,251.4,22,97,85
2026-09-18 23:00:00,136,68,249.3,20,98,85
2026-09-19 00:00:00,136,62,246.9,22,101,84
2026-09-19 01:00:00,137,65,246.2,20,97,88
2026-09-19 02:00:00,137,66,251.9,20,97,82
2026-09-19 03:00:00,137,64,254.8,21,97,88
2026-09-19 04:00:00,135,63,248.8,20,96,80
2026-09-19 05:00:00,135,65,250.0,19,97,84
2026-09-19 06:00:00,137,66,244.3,20,98,81
2026-09-19 07:00:00,136,64,243.2,20,94,85
2026-09-19 08:00:00,137,64,252.2,20,96,81
2026-09-19 09:00:00,135,63,243.3,19,97,85
2026-09-19 10:00:00,136,62,250.4,20,100,83
2026-09-19 11:00:00,136,65,253.7,20,102,81
2026-09-19 12:00:00,135,64,252.9,20,96,87
2026-09-19 13:00:00,135,66,247.4,20,99,85
2026-09-19 14:00:00,136,66,246.8,21,99,85
2026-09-19 15:00:00,136,66,248.6,21,98,88
2026-09-19 16:00:00,136,64,244.7,21,102,83
2026-09-19 17:00:00,136,67,247.7,21,98,86
2026-09-19 18:00:00,138,63,251.2,21,99,82
2026-09-19 19:00:00,137,67,254.8,21,100,84
2026-09-19 20:00:00,136,66,251.5,21,98,81
2026-09-19 21:00:00,137,66,251.5,20,96,88
2026-09-19 22:00:00,137,62,252.4,20,95,84
2026-09-19 23:00:00,136,67,241.4,21,99,82
2026-09-20 00:00:00,137,65,248.3,21,98,88
2026-09-20 01:00:00,138,65,243.5,20,97,85
2026-09-20 02:00:00,136,63,244.7,22,98,82
2026-09-20 03:00:00,137,64,247.5,21,100,83
2026-09-20 04:00:00,138,65,252.5,20,100,84
2026-09-20 05:00:00,137,65,247.1,20,97,89
2026-09-20 06:00:00,138,68,246.3,19,98,82
2026-09-20 07:00:00,137,65,247.6,22,100,85
2026-09-20 08:00:00,135,64,247.9,21,97,83
2026-09-20 09:00:00,135,65,243.4,21,98,86
2026-09-20 10:00:00,137,66,251.6,21,100,83
2026-09-20 11:00:00,138,65,247.5,19,100,84
2026-09-20 12:00:00,136,63,245.5,19,98,81
2026-09-20 13:00:00,138,69,250.7,21,102,84
2026-09-20 14:00:00,136,65,245.0,21,98,89
