ds,icu_patients,flu_cases,oxygen_demand,ventilator_demand,staff_demand,tanks_demand
2026-09-10 22:00:00,134,60,243.0,21,96,81
2026-09-10 23:00:00,135,60,247.2,19,97,83
2026-09-11 00:00:00,134,61,245.0,20,92,81
2026-09-11 01:00:00,136,61,242.3,18,95,77
2026-09-11 02:00:00,134,58,240.4,18,95,82
2026-09-11 03:00:00,135,59,245.7,19,96,77
2026-09-11 04:00:00,134,60,238.6,20,98,80
2026-09-11 05:00:00,136,59,241.8,20,94,82
2026-09-11 06:00:00,135,63,241.8,21,92,82
2026-09-11 07:00:00,135,61,240.9,19,91,80
2026-09-11 08:00:00,135,58,249.7,20,94,78
2026-09-11 09:00:00,135,63,247.0,19,96,79
2026-09-11 10:00:00,133,62,244.6,19,96,77
2026-09-11 11:00:00,135,58,250.0,20,95,78
2026-09-11 12:00:00,135,58,245.6,21,96,79
2026-09-11 13:00:00,134,60,242.8,20,99,81
2026-09-11 14:00:00,135,57,240.9,20,99,82
2026-09-11 15:00:00,134,62,238.8,19,98,80
2026-09-11 16:00:00,136,59,239.9,19,96,82
2026-09-11 17:00:00,135,61,242.2,20,94,81
2026-09-11 18:00:00,135,60,238.3,20,99,85
2026-09-11 19:00:00,135,59,237.4,19,97,78
2026-09-11 20:00:00,134,61,245.4,20,95,85
2026-09-11 21:00:00,135,60,237.7,19,93,79
2026-09-11 22:00:00,134,59,241.8,19,96,82
2026-09-11 23:00:00,134,60,244.6,20,97,80
2026-09-12 00:00:00,134,62,241.8,20,95,80
2026-09-12 01:00:00,135,58,239.3,21,92,81
2026-09-12 02:00:00,134,64,244.6,19,94,79
2026-09-12 03:00:00,135,60,238.9,19,96,81
2026-09-12 04:00:00,134,60,245.2,21,97,81
2026-09-12 05:00:00,134,61,240.9,19,95,77
2026-09-12 06:00:00,135,60,243.8,19,94,79
2026-09-12 07:00:00,136,58,242.8,21,91,79
2026-09-12 08:00:00,135,61,245.9,21,99,85
2026-09-12 09:00:00,135,60,240.5,19,95,79
2026-09-12 10:00:00,135,61,243.8,19,94,81
2026-09-12 11:00:00,135,60,239.7,19,91,83
2026-09-12 12:00:00,136,59,238.6,20,94,80
2026-09-12 13:00:00,135,59,242.9,19,98,80
2026-09-12 14:00:00,134,62,244.3,21,93,82
2026-09-12 15:00:00,135,59,243.8,19,97,79
2026-09-12 16:00:00,135,62,243.4,20,93,82
2026-09-12 17:00:00,133,59,242.1,20,95,83
2026-09-12 18:00:00,133,60,245.4,20,97,81
2026-09-12 19:00:00,136,63,239.7,20,92,83
2026-09-12 20:00:00,134,61,239.0,19,97,83
2026-09-12 21:00:00,136,63,243.7,20,96,79
2026-09-12 22:00:00,135,62,240.3,20,96,77
2026-09-12 23:00:00,135,55,239.3,20,95,77
2026-09-13 00:00:00,135,59,243.9,19,96,82
2026-09-13 01:00:00,134,64,245.0,21,95,80
2026-09-13 02:00:00,133,59,242.5,20,92,81
2026-09-13 03:00:00,134,61,237.0,19,95,83
2026-09-13 04:00:00,133,62,248.5,19,99,80
2026-09-13 05:00:00,136,63,245.1,19,95,80
2026-09-13 06:00:00,135,59,235.3,19,95,80
2026-09-13 07:00:00,135,62,237.0,18,93,79
2026-09-13 08:00:00,135,62,242.7,21,99,80
2026-09-13 09:00:00,136,58,243.6,20,91,83
2026-09-13 10:00:00,133,62,239.9,20,95,79
2026-09-13 11:00:00,135,62,242.4,19,94,82
2026-09-13 12:00:00,135,60,244.2,20,94,83
2026-09-13 13:00:00,135,62,244.0,20,93,83
2026-09-13 14:00:00,134,62,239.0,20,95,84
2026-09-13 15:00:00,135,59,248.2,19,93,81
2026-09-13 16:00:00,136,63,246.8,20,93,82
2026-09-13 17:00:00,135,64,244.7,20,90,82
2026-09-13 18:00:00,136,65,239.2,20,93,84
2026-09-13 19:00:00,135,60,245.5,19,96,81
2026-09-13 20:00:00,135,62,239.3,19,98,84
2026-09-13 21:00:00,135,60,244.1,20,93,83
2026-09-13 22:00:00,134,58,243.1,20,96,80
2026-09-13 23:00:00,135,60,244.5,20,95,79
2026-09-14 00:00:00,136,61,240.7,19,94,80
2026-09-14 01:00:00,136,60,246.0,19,94,80
2026-09-14 02:00:00,135,58,243.0,19,93,79
2026-09-14 03:00:00,136,61,239.8,19,93,81
2026-09-14 04:00:00,135,65,244.1,19,94,81
2026-09-14 05:00:00,136,59,243.2,21,95,78
2026-09-14 06:00:00,134,61,244.6,21,93,78
2026-09-14 07:00:00,135,60,240.3,20,95,82
2026-09-14 08:00:00,135,62,241.2,19,94,82
2026-09-14 09:00:00,135,60,242.6,20,96,80
2026-09-14 10:00:00,135,61,240.2,19,97,79
2026-09-14 11:00:00,135,62,239.9,20,95,83
